x,y,z,PIR,time
14592,-1276,-5696,0,2019-06-04 14:12:30.130836
15900,-1772,-4488,0,2019-06-04 14:12:30.239524
14368,-1100,-5276,0,2019-06-04 14:12:30.343113
15748,-1464,-3428,0,2019-06-04 14:12:30.451768
16836,-680,-3516,0,2019-06-04 14:12:30.567594
15968,-1572,-4968,0,2019-06-04 14:12:30.687634
15656,-852,-4232,0,2019-06-04 14:12:30.806710
18024,-292,-3248,0,2019-06-04 14:12:30.925855
18260,164,-6604,0,2019-06-04 14:12:31.045147
15196,-844,-6480,0,2019-06-04 14:12:31.163550
14324,-1464,-5244,0,2019-06-04 14:12:31.282467
17052,-752,-4992,0,2019-06-04 14:12:31.406426
18044,-216,-5188,0,2019-06-04 14:12:31.525449
16480,-276,-5392,0,2019-06-04 14:12:31.644680
16160,-448,-6304,0,2019-06-04 14:12:31.763905
17928,84,-5228,0,2019-06-04 14:12:31.888910
17092,-1200,-3708,0,2019-06-04 14:12:32.007849
18112,-920,-4288,0,2019-06-04 14:12:32.126761
16596,-924,-4712,0,2019-06-04 14:12:32.245812
16716,-2084,-3136,0,2019-06-04 14:12:32.364760
15900,-2380,-2868,0,2019-06-04 14:12:32.483674
16664,-260,-6732,0,2019-06-04 14:12:32.608194
18984,-620,-2716,0,2019-06-04 14:12:32.727148
16760,-928,-3756,0,2019-06-04 14:12:32.846050
19428,-352,-2720,0,2019-06-04 14:12:32.969344
18684,-1564,-2228,0,2019-06-04 14:12:33.088250
16992,-1452,-3332,0,2019-06-04 14:12:33.207228
15740,-1276,-3444,0,2019-06-04 14:12:33.331838
16284,-1644,-2400,0,2019-06-04 14:12:33.449745
18848,-1484,-1684,0,2019-06-04 14:12:33.569916
17780,-1520,-1384,0,2019-06-04 14:12:33.688758
15764,-1920,-3428,0,2019-06-04 14:12:33.807683
15844,-1760,-2848,0,2019-06-04 14:12:33.926654
17496,-2028,-2088,0,2019-06-04 14:12:34.050394
16620,-2376,-1956,0,2019-06-04 14:12:34.159247
17348,-2308,-1972,0,2019-06-04 14:12:34.274142
17416,-1224,-2484,0,2019-06-04 14:12:34.394229
16800,-1620,-2068,0,2019-06-04 14:12:34.509061
17440,-1588,-2080,0,2019-06-04 14:12:34.618774
16764,-2672,-2180,0,2019-06-04 14:12:34.731771
17376,-2420,-1140,0,2019-06-04 14:12:34.857457
17508,-2360,-1744,0,2019-06-04 14:12:34.978013
16696,-1552,-2064,0,2019-06-04 14:12:35.091964
17720,-2176,-1704,0,2019-06-04 14:12:35.210961
16884,-2472,-496,0,2019-06-04 14:12:35.331609
16580,-2028,-2236,0,2019-06-04 14:12:35.450963
17124,-2264,-1588,0,2019-06-04 14:12:35.570973
15424,-3136,-1196,0,2019-06-04 14:12:35.691524
16992,-1712,-1580,0,2019-06-04 14:12:35.795128
17072,-2536,-792,0,2019-06-04 14:12:35.903793
