x,y,z,PIR,time
16796,-84,-496,0,2019-06-04 14:05:37.017958
16820,-48,-544,0,2019-06-04 14:05:37.121665
16820,-152,-464,0,2019-06-04 14:05:37.225480
16748,-56,-740,0,2019-06-04 14:05:37.330233
16772,-148,-456,0,2019-06-04 14:05:37.434018
16692,-80,-568,0,2019-06-04 14:05:37.537812
16608,-148,-504,0,2019-06-04 14:05:37.641626
16728,-60,-544,0,2019-06-04 14:05:37.745442
16748,-88,-476,0,2019-06-04 14:05:37.850720
16788,116,-508,0,2019-06-04 14:05:37.955269
16716,-88,-436,0,2019-06-04 14:05:38.059072
16724,-120,-740,0,2019-06-04 14:05:38.163705
